name,ingredients,diet,flavor,course,state,region,style,category,source
Panjeeri,"whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,sweet,dessert,uttar pradesh,,,,indian_food
Papad,"urad dal, sev, lemon juice, chopped tomatoes",vegetarian,spicy,snack,,,chaat,,indian_food
Paratha,"wheat flour, butter, potato, coriander",vegetarian,spicy,main course,punjab,north,,,indian_food
Pattor,"arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,spicy,main course,rajasthan,west,,,indian_food
Pindi chana,"fennel, tea bags, tomato, kasuri methi, cinnamon",vegetarian,spicy,main course,punjab,north,,,indian_food
Rajma chaval,"red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,spicy,main course,,north,,,indian_food
Rongi,"garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,,main course,punjab,north,,,indian_food
Samosa,"potatoes, green peas, garam masala, ginger, dough",vegetarian,spicy,snack,,,chaat,,indian_food
Sattu ki roti,"sattu, atta, dough, filling, mustard oil",vegetarian,spicy,main course,bihar,north,,,indian_food
Shahi paneer,"cottage cheese, malai, garam masala, ginger, tomato",vegetarian,spicy,main course,punjab,north,,,indian_food
Shahi tukra,"rose water, milk, white bread slices, saffron, almonds",vegetarian,sweet,dessert,telangana,south,,,indian_food
Vegetable jalfrezi,"baby corn, french beans, garam masala, ginger, carrot",vegetarian,spicy,main course,punjab,north,,,indian_food
Tandoori Chicken,"greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non vegetarian,spicy,main course,punjab,north,,,indian_food
Tandoori Fish Tikka,"chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,spicy,starter,punjab,north,,,indian_food
Attu,"whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,spicy,snack,andhra pradesh,south,,,indian_food
Avial,"raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,spicy,main course,kerala,south,,,indian_food
Bisi bele bath,"split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,spicy,main course,karnataka,south,,,indian_food
Currivepillai sadam,"chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,spicy,main course,tamil nadu,south,,,indian_food
Dosa,"chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,spicy,snack,,south,chaat,,indian_food
Idiappam,"rice flour, hot water, grated coconut",vegetarian,spicy,snack,tamil nadu,south,,,indian_food
